city,year,temperature,ndvi,ndbi
Ampang,2016,39.93787679823849,0.21516367368077552,-0.06742663547336429
Ampang,2017,35.08523555495872,0.19516260238980412,-0.06846788041370726
Ampang,2018,28.801916324168136,0.14742666954294556,-0.06787871387185751
Ampang,2019,41.36018796873489,0.21641936004427081,-0.06361609473811365
Ampang,2020,34.0968595851572,0.21200814526910283,-0.07119591417870845
Ampang,2021,36.86431680566491,0.21314598853328978,-0.06866460051035847
Ampang,2022,19.05604950493685,0.11079430442301988,-0.07989392620901983
Ampang,2023,33.78144379145601,0.22833996142889734,-0.08238481383722092
Ampang,2024,23.604873986348274,0.2090310968639738,-0.08257943352227738
Butterworth,2016,35.10076972159742,0.07368335223410162,-0.010362827651198392
Butterworth,2017,22.346829773883844,0.08031028243534678,-0.022053061964015148
Butterworth,2018,35.63492891611112,0.07727837526629242,-0.016214623547901433
Butterworth,2019,37.06881811278241,0.07538344815778268,-0.01779493742300429
Butterworth,2020,25.79586109986631,0.07988100858706114,-0.017122470970468495
Butterworth,2021,39.314172038572,0.05964752571292873,-0.00349474656818747
Butterworth,2022,34.299224798163166,0.08300170032991219,-0.015901339738215895
Butterworth,2023,35.33729382480297,0.06961104020353003,-0.01553267865185675
Butterworth,2024,34.67947149280055,0.07572578079258613,-0.01306065653369871
George Town,2016,32.0640155092428,0.1115120884584208,-0.04234528593808854
George Town,2017,23.236795381905218,0.11620729432227901,-0.047017369978533154
George Town,2018,33.94567792529669,0.11701021815042714,-0.0436468650281346
George Town,2019,34.425928763299844,0.10404023333893118,-0.04385555125518622
George Town,2020,24.3444135029669,0.12027999833889713,-0.045539848291029424
George Town,2021,36.92553657194302,0.10535207028040154,-0.03641294531602619
George Town,2022,31.708823788242,0.10981324951880658,-0.04391471010618339
George Town,2023,33.800731038242404,0.10503880326414086,-0.042013320930340846
George Town,2024,32.20585947249816,0.11075510871477462,-0.044774242426077526
Johor Bahru,2016,40.19831123335094,0.21841221734005342,-0.07317989729028268
Johor Bahru,2017,27.95587831848701,0.17173988316501643,-0.0808430597955397
Johor Bahru,2018,36.05814784933442,0.21197607874723262,-0.07793504417815808
Johor Bahru,2019,33.9607305728055,0.1887675015847316,-0.07962689332964043
Johor Bahru,2020,26.044551297089527,0.22327234124691014,-0.0845118002637753
Johor Bahru,2021,25.739437829819124,0.20416003075112943,-0.08321524014230815
Johor Bahru,2022,36.78586186804972,0.23476514097791223,-0.07750711803048928
Johor Bahru,2023,36.4707277631491,0.22162170002395548,-0.06991366507020651
Kuala Lumpur,2016,41.21528749204122,0.19845054453779723,-0.052411891402449874
Kuala Lumpur,2017,36.40625867183787,0.17701640017419842,-0.05775020970650124
Kuala Lumpur,2018,31.549787536935845,0.1587509596789091,-0.0633212669988476
Kuala Lumpur,2019,43.463206815191164,0.20367180275085736,-0.051316470522285475
Kuala Lumpur,2020,38.00344741507465,0.20888715467962696,-0.061531959597663145
Kuala Lumpur,2021,37.857672245101874,0.19531984724099705,-0.05498213810361667
Kuala Lumpur,2022,21.4626196084153,0.11758335059652981,-0.07352765661688504
Kuala Lumpur,2023,34.7930783457199,0.21096817406444973,-0.06532188176879422
Kuala Lumpur,2024,28.29450915875105,0.20203269078369726,-0.06851690352502757
Petaling Jaya,2016,42.323423150534516,0.18301755285703092,-0.04002752241991408
Petaling Jaya,2017,37.608250533027515,0.16458382602626798,-0.04528049355848803
Petaling Jaya,2018,30.23519400018587,0.13962092820509658,-0.06254527422747373
Petaling Jaya,2019,45.37897570700519,0.18761045904339968,-0.03697006610125503
Petaling Jaya,2020,40.88034155786856,0.19809690527407495,-0.048720257002563494
Petaling Jaya,2021,39.071950104809645,0.18108913564836032,-0.04206943844117819
Petaling Jaya,2022,27.42670056929393,0.13308888047517847,-0.05730345638802135
Petaling Jaya,2023,37.01417469165044,0.19526685248976153,-0.04446268512063036
Petaling Jaya,2024,36.20636127791752,0.19017280801283412,-0.05112648594465
Shah Alam,2016,40.14233164111632,0.183379976833536,-0.04466616933787367
Shah Alam,2017,39.90986779205444,0.16988392940989658,-0.04705304801776816
Shah Alam,2018,27.116868271686716,0.12757446663193506,-0.07977231432953685
Shah Alam,2019,44.69773972468846,0.19010721908456038,-0.04099223533623224
Shah Alam,2020,39.36302653286786,0.1914639958667186,-0.05203062246645801
Shah Alam,2021,37.523217338039075,0.17463664265086135,-0.04496997211598376
Shah Alam,2022,36.62457388724537,0.17432977717069628,-0.04932490354847847
Shah Alam,2023,33.08904059504058,0.19120882228048888,-0.045412004936830966
Shah Alam,2024,39.50534005321523,0.19922309376942318,-0.05500655967005561
Subang Jaya,2016,42.37279384634676,0.16719731650918312,-0.03498929418929446
Subang Jaya,2017,42.07919066355637,0.16223046653789908,-0.039849317669494254
Subang Jaya,2018,24.273343082610417,0.10225463889103192,-0.08827921276558971
Subang Jaya,2019,46.07306872882649,0.1789377388520779,-0.03340801482519313
Subang Jaya,2020,41.29483053792256,0.18519158359378973,-0.04427593536153725
Subang Jaya,2021,39.22736837639212,0.16787191205173768,-0.03629172057155047
Subang Jaya,2022,33.502262150145405,0.1525954763326776,-0.046469047210086364
Subang Jaya,2023,38.26384789118551,0.18289443831908767,-0.03849345204408504
Subang Jaya,2024,40.7444589487788,0.1853467680687885,-0.045415119630979446
